Donor Type,Donor Age,Donor State of Residence,All Donors - All History of Diabetes,All Donors - NA before 4/1/1994,All Donors - NO,All Donors - UNKNOWN,"All Donors - YES, >10 YEARS","All Donors - YES, 0-5 YEARS","All Donors - YES, 6-10 YEARS","All Donors - YES, UNKNOWN DURATION",Kidney - All History of Diabetes,Kidney - NA before 4/1/1994,Kidney - NO,Kidney - UNKNOWN,"Kidney - YES, >10 YEARS","Kidney - YES, 0-5 YEARS","Kidney - YES, 6-10 YEARS","Kidney - YES, UNKNOWN DURATION",Liver - All History of Diabetes,Liver - NA before 4/1/1994,Liver - NO,Liver - UNKNOWN,"Liver - YES, >10 YEARS","Liver - YES, 0-5 YEARS","Liver - YES, 6-10 YEARS","Liver - YES, UNKNOWN DURATION",Heart - All History of Diabetes,Heart - NA before 4/1/1994,Heart - NO,Heart - UNKNOWN,"Heart - YES, >10 YEARS","Heart - YES, 0-5 YEARS","Heart - YES, 6-10 YEARS","Heart - YES, UNKNOWN DURATION",Pancreas - All History of Diabetes,Pancreas - NA before 4/1/1994,Pancreas - NO,Pancreas - UNKNOWN,"Pancreas - YES, >10 YEARS","Pancreas - YES, 0-5 YEARS","Pancreas - YES, 6-10 YEARS","Pancreas - YES, UNKNOWN DURATION",Lung - All History of Diabetes,Lung - NA before 4/1/1994,Lung - NO,Lung - UNKNOWN,"Lung - YES, >10 YEARS","Lung - YES, 0-5 YEARS","Lung - YES, 6-10 YEARS","Lung - YES, UNKNOWN DURATION",Intestine - All History of Diabetes,Intestine - NA before 4/1/1994,Intestine - NO,Intestine - UNKNOWN,"Intestine - YES, >10 YEARS","Intestine - YES, 0-5 YEARS","Intestine - YES, 6-10 YEARS","Intestine - YES, UNKNOWN DURATION"
,,Arkansas,42,7,35,0,0,0,0,0,20,2,18,0,0,0,0,0,31,3,28,0,0,0,0,0,32,6,26,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0
,,California,334,68,266,0,0,0,0,0,202,10,192,0,0,0,0,0,216,48,168,0,0,0,0,0,241,50,191,0,0,0,0,0,19,0,19,0,0,0,0,0,12,3,9,0,0,0,0,0,34,1,33,0,0,0,0,0
,,Colorado,51,7,43,0,0,1,0,0,23,3,20,0,0,0,0,0,31,6,25,0,0,0,0,0,37,6,30,0,0,1,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0
,,Connecticut,23,5,18,0,0,0,0,0,18,2,16,0,0,0,0,0,18,4,14,0,0,0,0,0,16,3,13,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0
,,Delaware,8,1,7,0,0,0,0,0,5,0,5,0,0,0,0,0,7,1,6,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,,District of Columbia,8,4,4,0,0,0,0,0,6,2,4,0,0,0,0,0,8,4,4,0,0,0,0,0,6,2,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
,,Florida,224,44,180,0,0,0,0,0,98,8,90,0,0,0,0,0,170,37,133,0,0,0,0,0,149,18,131,0,0,0,0,0,54,1,53,0,0,0,0,0,12,0,12,0,0,0,0,0,67,3,64,0,0,0,0,0
,,Georgia,110,17,93,0,0,0,0,0,48,5,43,0,0,0,0,0,77,11,66,0,0,0,0,0,92,12,80,0,0,0,0,0,18,0,18,0,0,0,0,0,4,0,4,0,0,0,0,0,31,0,31,0,0,0,0,0
,,Hawaii,7,1,6,0,0,0,0,0,4,0,4,0,0,0,0,0,4,1,3,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,,Idaho,20,3,17,0,0,0,0,0,12,0,12,0,0,0,0,0,13,3,10,0,0,0,0,0,13,2,11,0,0,0,0,0,3,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0
,,Illinois,170,36,133,0,0,1,0,0,91,10,81,0,0,0,0,0,116,31,84,0,0,1,0,0,104,20,83,0,0,1,0,0,14,1,13,0,0,0,0,0,10,1,9,0,0,0,0,0,29,0,28,0,0,1,0,0
,,Indiana,75,12,62,0,0,1,0,0,41,6,35,0,0,0,0,0,54,8,46,0,0,0,0,0,58,9,48,0,0,1,0,0,17,1,16,0,0,0,0,0,4,0,4,0,0,0,0,0,20,0,20,0,0,0,0,0
,,Iowa,30,6,24,0,0,0,0,0,17,5,12,0,0,0,0,0,23,5,18,0,0,0,0,0,22,2,20,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,10,0,10,0,0,0,0,0
,,Kansas,53,7,46,0,0,0,0,0,31,1,30,0,0,0,0,0,34,6,28,0,0,0,0,0,35,6,29,0,0,0,0,0,7,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,15,0,15,0,0,0,0,0
,,Kentucky,50,11,39,0,0,0,0,0,27,5,22,0,0,0,0,0,45,10,35,0,0,0,0,0,40,10,30,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0
,,Louisiana,54,6,47,1,0,0,0,0,23,2,21,0,0,0,0,0,45,6,39,0,0,0,0,0,40,4,35,1,0,0,0,0,12,0,12,0,0,0,0,0,3,0,3,0,0,0,0,0,17,0,17,0,0,0,0,0
,,Maine,8,0,8,0,0,0,0,0,6,0,6,0,0,0,0,0,7,0,7,0,0,0,0,0,5,0,5,0,0,0,0,0,7,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,7,0,0,0,0,0
,,Maryland,54,7,47,0,0,0,0,0,40,5,35,0,0,0,0,0,40,6,34,0,0,0,0,0,33,4,29,0,0,0,0,0,10,0,10,0,0,0,0,0,3,0,3,0,0,0,0,0,11,0,11,0,0,0,0,0
,,Massachusetts,32,3,29,0,0,0,0,0,17,1,16,0,0,0,0,0,21,3,18,0,0,0,0,0,20,3,17,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,9,0,9,0,0,0,0,0
,,Michigan,109,12,96,1,0,0,0,0,59,4,54,1,0,0,0,0,72,11,60,1,0,0,0,0,79,6,72,1,0,0,0,0,16,0,16,0,0,0,0,0,4,0,4,0,0,0,0,0,29,0,29,0,0,0,0,0
,,Minnesota,59,13,45,1,0,0,0,0,26,2,23,1,0,0,0,0,41,10,30,1,0,0,0,0,42,8,33,1,0,0,0,0,7,1,6,0,0,0,0,0,4,0,3,1,0,0,0,0,10,0,10,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mississippi,43,6,37,0,0,0,0,0,22,3,19,0,0,0,0,0,32,6,26,0,0,0,0,0,26,3,23,0,0,0,0,0,10,0,10,0,0,0,0,0,3,0,3,0,0,0,0,0,13,1,12,0,0,0,0,0
,,Missouri,80,14,66,0,0,0,0,0,39,7,32,0,0,0,0,0,51,9,42,0,0,0,0,0,53,11,42,0,0,0,0,0,12,0,12,0,0,0,0,0,6,2,4,0,0,0,0,0,20,0,20,0,0,0,0,0
,,Montana,14,2,12,0,0,0,0,0,7,2,5,0,0,0,0,0,11,2,9,0,0,0,0,0,12,1,11,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0
,,Nebraska,24,12,12,0,0,0,0,0,8,1,7,0,0,0,0,0,19,10,9,0,0,0,0,0,13,4,9,0,0,0,0,0,4,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,7,0,7,0,0,0,0,0
,,Nevada,35,2,33,0,0,0,0,0,31,2,29,0,0,0,0,0,21,1,20,0,0,0,0,0,24,1,23,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0
,,New Hampshire,5,4,1,0,0,0,0,0,3,2,1,0,0,0,0,0,5,4,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New Jersey,69,11,58,0,0,0,0,0,44,5,39,0,0,0,0,0,43,6,37,0,0,0,0,0,47,6,41,0,0,0,0,0,6,1,5,0,0,0,0,0,5,0,5,0,0,0,0,0,11,1,10,0,0,0,0,0
,,New Mexico,26,5,21,0,0,0,0,0,13,3,10,0,0,0,0,0,21,5,16,0,0,0,0,0,19,4,15,0,0,0,0,0,3,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0
,,New York,137,28,108,1,0,0,0,0,71,7,63,1,0,0,0,0,95,22,72,1,0,0,0,0,96,19,76,1,0,0,0,0,19,1,18,0,0,0,0,0,7,0,6,1,0,0,0,0,34,0,33,1,0,0,0,0
,,North Carolina,125,18,106,1,0,0,0,0,61,6,55,0,0,0,0,0,94,13,80,1,0,0,0,0,87,13,73,1,0,0,0,0,14,1,13,0,0,0,0,0,7,0,7,0,0,0,0,0,33,1,31,1,0,0,0,0
,,North Dakota,5,2,3,0,0,0,0,0,3,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Ohio,110,14,96,0,0,0,0,0,58,4,54,0,0,0,0,0,76,12,64,0,0,0,0,0,78,8,70,0,0,0,0,0,14,0,14,0,0,0,0,0,8,1,7,0,0,0,0,0,21,0,21,0,0,0,0,0
,,Oklahoma,42,7,35,0,0,0,0,0,28,5,23,0,0,0,0,0,28,5,23,0,0,0,0,0,29,5,24,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,6,0,0,0,0,0
,,Oregon,31,4,26,1,0,0,0,0,16,1,14,1,0,0,0,0,18,3,14,1,0,0,0,0,22,2,19,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0
,,Pennsylvania,155,30,125,0,0,0,0,0,92,14,78,0,0,0,0,0,100,23,77,0,0,0,0,0,93,16,77,0,0,0,0,0,15,1,14,0,0,0,0,0,11,3,8,0,0,0,0,0,25,0,25,0,0,0,0,0
